Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
2,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
3,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
4,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
5,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
6,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
7,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
8,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
9,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
10,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_01,N,97.33803066666667,-217,0,874,831.0,0.7582691007017544
