Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_10,N,51.23620356542088,400,13,387,,0.2704667321128187
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_11,N,51.23620356542088,400,12,388,,0.2715656332117198
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_12,N,51.23620356542088,400,12,388,,0.2715656332117198
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_13,N,51.23620356542088,400,35,365,,0.26173657338265993
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_14,N,51.23620356542088,400,19,381,,0.2661810178271044
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_15,N,51.23620356542088,400,24,376,,0.2641810178271044
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_16,N,51.23620356542088,400,11,389,,0.27284768449377106
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_17,Y,51.23620356542088,468,34,434,,0.2618953035413901
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_18,N,51.23620356542088,765,73,692,,0.2588837205298071
1,1,DQN,Nadaraya-Watson,N/A,N/A,DQN_NW_SIT_17_500_1e-04_99_05-03-14-53,SIT_17,SIT_19,N,51.23620356542088,470,35,435,,0.26173657338265993
