Folder name,File name,Tool-wear micrometer
10. S1200_F25_D0.10,a10.docx,140.15
10. S1200_F25_D0.10,a11.docx,154.74
10. S1200_F25_D0.10,a12.docx,162.04
10. S1200_F25_D0.10,a13.docx,166.42
10. S1200_F25_D0.10,a14.docx,181.02
10. S1200_F25_D0.10,a15.docx,182.48
10. S1200_F25_D0.10,a16.docx,191.24
10. S1200_F25_D0.10,a17.docx,194.16
10. S1200_F25_D0.10,a18.docx,202.92
10. S1200_F25_D0.10,a19.docx,218.98
10. S1200_F25_D0.10,a2.docx,75.91
10. S1200_F25_D0.10,a20.docx,227.74
10. S1200_F25_D0.10,a21.docx,232.12
10. S1200_F25_D0.10,a22.docx,240.88
10. S1200_F25_D0.10,a23.docx,246.72
10. S1200_F25_D0.10,a24.docx,252.55
10. S1200_F25_D0.10,a25.docx,261.31
10. S1200_F25_D0.10,a26.docx,265.69
10. S1200_F25_D0.10,a27.docx,270.07
10. S1200_F25_D0.10,a28.docx,281.02
10. S1200_F25_D0.10,a29.docx,284.67
10. S1200_F25_D0.10,a3.docx,93.43
10. S1200_F25_D0.10,a30.docx,291.97
10. S1200_F25_D0.10,a31.docx,294.16
10. S1200_F25_D0.10,a32.docx,302.92
10. S1200_F25_D0.10,a4.docx,97.08
10. S1200_F25_D0.10,a6.docx,113.87
10. S1200_F25_D0.10,a7.docx,124.09
10. S1200_F25_D0.10,a8.docx,135.04
10. S1200_F25_D0.10,a9.docx,138.69
11. S800_F40_D0.30,a1.docx,54.01
11. S800_F40_D0.30,a10.docx,150.36
11. S800_F40_D0.30,a11.docx,162.04
11. S800_F40_D0.30,a12.docx,164.96
11. S800_F40_D0.30,a13.docx,170.8
11. S800_F40_D0.30,a14.docx,182.48
11. S800_F40_D0.30,a15.docx,192.7
11. S800_F40_D0.30,a16.docx,194.16
11. S800_F40_D0.30,a17.docx,202.92
11. S800_F40_D0.30,a18.docx,205.84
11. S800_F40_D0.30,a19.docx,210.22
11. S800_F40_D0.30,a2.docx,62.04
11. S800_F40_D0.30,a20.docx,217.52
11. S800_F40_D0.30,a21.docx,220.44
11. S800_F40_D0.30,a22.docx,223.36
11. S800_F40_D0.30,a23.docx,230.66
11. S800_F40_D0.30,a24.docx,238.69
11. S800_F40_D0.30,a25.docx,243.07
11. S800_F40_D0.30,a26.docx,243.07
11. S800_F40_D0.30,a27.docx,258.39
11. S800_F40_D0.30,a28.docx,261.31
11. S800_F40_D0.30,a29.docx,267.15
11. S800_F40_D0.30,a3.docx,67.15
11. S800_F40_D0.30,a30.docx,271.53
11. S800_F40_D0.30,a31.docx,274.45
11. S800_F40_D0.30,a32.docx,281.75
11. S800_F40_D0.30,a33.docx,287.59
11. S800_F40_D0.30,a34.docx,291.97
11. S800_F40_D0.30,a35.docx,305.11
11. S800_F40_D0.30,a4.docx,72.99
11. S800_F40_D0.30,a5.docx,90.51
11. S800_F40_D0.30,a6.docx,97.81
11. S800_F40_D0.30,a7.docx,112.41
11. S800_F40_D0.30,a8.docx,131.39
11. S800_F40_D0.30,a9.docx,141.61
12. S1100_F40_D0.20,a1.docx,53.28
12. S1100_F40_D0.20,a10.docx,144.53
12. S1100_F40_D0.20,a11.docx,150.36
12. S1100_F40_D0.20,a12.docx,161.31
12. S1100_F40_D0.20,a13.docx,170.07
12. S1100_F40_D0.20,a14.docx,176.65
12. S1100_F40_D0.20,a15.docx,188.32
12. S1100_F40_D0.20,a16.docx,191.97
12. S1100_F40_D0.20,a17.docx,197.08
12. S1100_F40_D0.20,a18.docx,204.38
12. S1100_F40_D0.20,a2.docx,64.23
12. S1100_F40_D0.20,a21.docx,225.55
12. S1100_F40_D0.20,a22.docx,232.12
12. S1100_F40_D0.20,a23.docx,240.88
12. S1100_F40_D0.20,a24.docx,245.99
12. S1100_F40_D0.20,a25.docx,248.18
12. S1100_F40_D0.20,a26.docx,262.77
12. S1100_F40_D0.20,a27.docx,264.23
12. S1100_F40_D0.20,a28.docx,265.7
12. S1100_F40_D0.20,a29.docx,270.07
12. S1100_F40_D0.20,a3.docx,72.99
12. S1100_F40_D0.20,a30.docx,274.45
12. S1100_F40_D0.20,a31.docx,278.83
12. S1100_F40_D0.20,a32.docx,287.59
12. S1100_F40_D0.20,a33.docx,291.97
12. S1100_F40_D0.20,a34.docx,302.92
12. S1100_F40_D0.20,a4.docx,78.83
12. S1100_F40_D0.20,a5.docx,81.75
12. S1100_F40_D0.20,a6.docx,99.27
12. S1100_F40_D0.20,a7.docx,108.03
12. S1100_F40_D0.20,a8.docx,125.55
12. S1100_F40_D0.20,a9.docx,134.31
13. S1100_F35_D0.15,a1.docx,55.47
13. S1100_F35_D0.15,a10.docx,134.31
13. S1100_F35_D0.15,a11.docx,143.8
13. S1100_F35_D0.15,a12.docx,151.82
13. S1100_F35_D0.15,a13.docx,159.85
13. S1100_F35_D0.15,a14.docx,163.5
13. S1100_F35_D0.15,a15.docx,172.26
13. S1100_F35_D0.15,a16.docx,183.21
13. S1100_F35_D0.15,a17.docx,190.51
13. S1100_F35_D0.15,a18.docx,199.27
13. S1100_F35_D0.15,a19.docx,202.2
13. S1100_F35_D0.15,a2.docx,72.99
13. S1100_F35_D0.15,a20.docx,214.6
13. S1100_F35_D0.15,a21.docx,227.74
13. S1100_F35_D0.15,a22.docx,236.5
13. S1100_F35_D0.15,a23.docx,237.96
13. S1100_F35_D0.15,a24.docx,243.8
13. S1100_F35_D0.15,a25.docx,250.36
13. S1100_F35_D0.15,a26.docx,258.39
13. S1100_F35_D0.15,a27.docx,272.26
13. S1100_F35_D0.15,a28.docx,271.53
13. S1100_F35_D0.15,a29.docx,274.45
13. S1100_F35_D0.15,a3.docx,75.18
13. S1100_F35_D0.15,a30.docx,283.21
13. S1100_F35_D0.15,a31.docx,286.13
13. S1100_F35_D0.15,a32.docx,294.89
13. S1100_F35_D0.15,a33.docx,300.73
13. S1100_F35_D0.15,a34.docx,303.65
13. S1100_F35_D0.15,a35.docx,302.92
13. S1100_F35_D0.15,a4.docx,86.13
13. S1100_F35_D0.15,a5.docx,89.1
13. S1100_F35_D0.15,a6.docx,103.65
13. S1100_F35_D0.15,a7.docx,106.57
13. S1100_F35_D0.15,a8.docx,119.71
13. S1100_F35_D0.15,a9.docx,124.09
14. S1100_F20_D0.25,a1.docx,48.18
14. S1100_F20_D0.25,a10.docx,169.34
14. S1100_F20_D0.25,a12.docx,194.89
14. S1100_F20_D0.25,a13.docx,210.22
14. S1100_F20_D0.25,a14.docx,227.74
14. S1100_F20_D0.25,a15.docx,233.58
14. S1100_F20_D0.25,a16.docx,239.42
14. S1100_F20_D0.25,a17.docx,243.8
14. S1100_F20_D0.25,a18.docx,278.83
14. S1100_F20_D0.25,a19.docx,287.59
14. S1100_F20_D0.25,a2.docx,84.67
14. S1100_F20_D0.25,a20.docx,291.97
14. S1100_F20_D0.25,a21.docx,306.57
14. S1100_F20_D0.25,a3.docx,91.24
14. S1100_F20_D0.25,a4.docx,135.04
14. S1100_F20_D0.25,a5.docx,115.33
14. S1100_F20_D0.25,a6.docx,125.55
14. S1100_F20_D0.25,a7.docx,132.12
14. S1100_F20_D0.25,a8.docx,155.47
14. S1100_F20_D0.25,a9.docx,166.42
15. S1100_F25_D0.30,a1.docx,56.93
15. S1100_F25_D0.30,a10.docx,128.47
15. S1100_F25_D0.30,a11.docx,141.61
15. S1100_F25_D0.30,a12.docx,148.18
15. S1100_F25_D0.30,a13.docx,154.74
15. S1100_F25_D0.30,a14.docx,162.04
15. S1100_F25_D0.30,a15.docx,172.26
15. S1100_F25_D0.30,a16.docx,183.94
15. S1100_F25_D0.30,a17.docx,198.54
15. S1100_F25_D0.30,a18.docx,205.84
15. S1100_F25_D0.30,a19.docx,221.17
15. S1100_F25_D0.30,a2.docx,62.04
15. S1100_F25_D0.30,a20.docx,230.66
15. S1100_F25_D0.30,a21.docx,233.58
15. S1100_F25_D0.30,a22.docx,243.8
15. S1100_F25_D0.30,a23.docx,245.26
15. S1100_F25_D0.30,a24.docx,248.18
15. S1100_F25_D0.30,a25.docx,260.58
15. S1100_F25_D0.30,a26.docx,267.15
15. S1100_F25_D0.30,a27.docx,270.07
15. S1100_F25_D0.30,a28.docx,274.45
15. S1100_F25_D0.30,a29.docx,277.37
15. S1100_F25_D0.30,a3.docx,72.99
15. S1100_F25_D0.30,a30.docx,287.59
15. S1100_F25_D0.30,a31.docx,290.51
15. S1100_F25_D0.30,a32.docx,294.16
15. S1100_F25_D0.30,a33.docx,303.65
15. S1100_F25_D0.30,a34.docx,313.87
15. S1100_F25_D0.30,a4.docx,81.75
15. S1100_F25_D0.30,a5.docx,88.32
15. S1100_F25_D0.30,a6.docx,94.89
15. S1100_F25_D0.30,a7.docx,113.14
15. S1100_F25_D0.30,a8.docx,118.98
15. S1100_F25_D0.30,a9.docx,123.36
16. S1100_F30_D0.1,a1.docx,59.85
16. S1100_F30_D0.1,a10.docx,141.61
16. S1100_F30_D0.1,a11.docx,143.8
16. S1100_F30_D0.1,a12.docx,148.18
16. S1100_F30_D0.1,a13.docx,161.31
16. S1100_F30_D0.1,a14.docx,163.5
16. S1100_F30_D0.1,a15.docx,176.64
16. S1100_F30_D0.1,a16.docx,181.75
16. S1100_F30_D0.1,a17.docx,189.78
16. S1100_F30_D0.1,a18.docx,199.27
16. S1100_F30_D0.1,a19.docx,203.65
16. S1100_F30_D0.1,a2.docx,72.99
16. S1100_F30_D0.1,a20.docx,205.84
16. S1100_F30_D0.1,a21.docx,211.68
16. S1100_F30_D0.1,a22.docx,221.17
16. S1100_F30_D0.1,a23.docx,223.36
16. S1100_F30_D0.1,a24.docx,229.2
16. S1100_F30_D0.1,a25.docx,235.04
16. S1100_F30_D0.1,a26.docx,242.34
16. S1100_F30_D0.1,a27.docx,245.26
16. S1100_F30_D0.1,a28.docx,254.01
16. S1100_F30_D0.1,a29.docx,259.12
16. S1100_F30_D0.1,a3.docx,77.37
16. S1100_F30_D0.1,a30.docx,260.58
16. S1100_F30_D0.1,a31.docx,277.37
16. S1100_F30_D0.1,a32.docx,276.64
16. S1100_F30_D0.1,a33.docx,278.83
16. S1100_F30_D0.1,a35.docx,284.67
16. S1100_F30_D0.1,a36.docx,289.78
16. S1100_F30_D0.1,a37.docx,291.97
16. S1100_F30_D0.1,a38.docx,296.35
16. S1100_F30_D0.1,a39.docx,306.57
16. S1100_F30_D0.1,a4.docx,84.78
16. S1100_F30_D0.1,a5.docx,96.35
16. S1100_F30_D0.1,a6.docx,97.08
16. S1100_F30_D0.1,a7.docx,103.65
16. S1100_F30_D0.1,a8.docx,118.25
16. S1100_F30_D0.1,a9.docx,135.04
17. S900_F40_D0.1,a1.docx,70.07
17. S900_F40_D0.1,a10.docx,124.09
17. S900_F40_D0.1,a11.docx,132.85
17. S900_F40_D0.1,a12.docx,143.07
17. S900_F40_D0.1,a13.docx,148.91
17. S900_F40_D0.1,a14.docx,148.91
17. S900_F40_D0.1,a15.docx,157.66
17. S900_F40_D0.1,a16.docx,163.5
17. S900_F40_D0.1,a17.docx,170.8
17. S900_F40_D0.1,a18.docx,172.26
17. S900_F40_D0.1,a19.docx,175.18
17. S900_F40_D0.1,a2.docx,64.23
17. S900_F40_D0.1,a20.docx,181.02
17. S900_F40_D0.1,a21.docx,189.78
17. S900_F40_D0.1,a22.docx,198.54
17. S900_F40_D0.1,a23.docx,200.73
17. S900_F40_D0.1,a24.docx,204.38
17. S900_F40_D0.1,a25.docx,205.84
17. S900_F40_D0.1,a26.docx,216.06
17. S900_F40_D0.1,a27.docx,221.17
17. S900_F40_D0.1,a28.docx,229.2
17. S900_F40_D0.1,a29.docx,230.66
17. S900_F40_D0.1,a3.docx,67.15
17. S900_F40_D0.1,a30.docx,235.04
17. S900_F40_D0.1,a31.docx,240.88
17. S900_F40_D0.1,a33.docx,274.45
17. S900_F40_D0.1,a34.docx,289.05
17. S900_F40_D0.1,a4.docx,79.56
17. S900_F40_D0.1,a5.docx,87.59
17. S900_F40_D0.1,a6.docx,97.08
17. S900_F40_D0.1,a7.docx,100.73
17. S900_F40_D0.1,a8.docx,105.84
17. S900_F40_D0.1,a9.docx,115.33
18. S900_F35_D0.30,a1.docx,56.93
18. S900_F35_D0.30,a10.docx,135.04
18. S900_F35_D0.30,a11.docx,141.61
18. S900_F35_D0.30,a12.docx,154.74
18. S900_F35_D0.30,a13.docx,163.5
18. S900_F35_D0.30,a14.docx,165.69
18. S900_F35_D0.30,a15.docx,170.8
18. S900_F35_D0.30,a16.docx,178.83
18. S900_F35_D0.30,a17.docx,186.13
18. S900_F35_D0.30,a18.docx,190.51
18. S900_F35_D0.30,a19.docx,205.84
18. S900_F35_D0.30,a2.docx,61.31
18. S900_F35_D0.30,a20.docx,203.65
18. S900_F35_D0.30,a21.docx,218.98
18. S900_F35_D0.30,a22.docx,220.44
18. S900_F35_D0.30,a23.docx,223.36
18. S900_F35_D0.30,a25.docx,229.94
18. S900_F35_D0.30,a27.docx,252.55
18. S900_F35_D0.30,a28.docx,264.96
18. S900_F35_D0.30,a3.docx,67.15
18. S900_F35_D0.30,a4.docx,90.51
18. S900_F35_D0.30,a5.docx,91.97
18. S900_F35_D0.30,a6.docx,100.0
18. S900_F35_D0.30,a7.docx,112.41
18. S900_F35_D0.30,a8.docx,121.17
18. S900_F35_D0.30,a9.docx,126.28
19. S900_F30_D0.25,a1.docx,56.93
19. S900_F30_D0.25,a10.docx,139.42
19. S900_F30_D0.25,a11.docx,141.61
19. S900_F30_D0.25,a12.docx,145.99
19. S900_F30_D0.25,a13.docx,153.28
19. S900_F30_D0.25,a14.docx,163.5
19. S900_F30_D0.25,a15.docx,174.45
19. S900_F30_D0.25,a16.docx,183.94
19. S900_F30_D0.25,a17.docx,198.54
19. S900_F30_D0.25,a18.docx,201.46
19. S900_F30_D0.25,a19.docx,208.03
19. S900_F30_D0.25,a2.docx,62.77
19. S900_F30_D0.25,a20.docx,210.22
19. S900_F30_D0.25,a21.docx,221.17
19. S900_F30_D0.25,a22.docx,227.74
19. S900_F30_D0.25,a23.docx,232.85
19. S900_F30_D0.25,a24.docx,236.5
19. S900_F30_D0.25,a25.docx,240.88
19. S900_F30_D0.25,a27.docx,250.36
19. S900_F30_D0.25,a3.docx,77.37
19. S900_F30_D0.25,a31.docx,273.72
19. S900_F30_D0.25,a33.docx,289.05
19. S900_F30_D0.25,a4.docx,90.51
19. S900_F30_D0.25,a5.docx,103.65
19. S900_F30_D0.25,a6.docx,112.41
19. S900_F30_D0.25,a7.docx,119.71
19. S900_F30_D0.25,a8.docx,126.28
19. S900_F30_D0.25,a9.docx,132.85
20. S900_F25_D0.20,a1.docx,59.85
20. S900_F25_D0.20,a10.docx,178.1
20. S900_F25_D0.20,a11.docx,195.62
20. S900_F25_D0.20,a12.docx,214.6
20. S900_F25_D0.20,a13.docx,218.98
20. S900_F25_D0.20,a14.docx,221.17
20. S900_F25_D0.20,a15.docx,229.93
20. S900_F25_D0.20,a16.docx,234.31
20. S900_F25_D0.20,a17.docx,243.07
20. S900_F25_D0.20,a18.docx,252.55
20. S900_F25_D0.20,a19.docx,260.58
20. S900_F25_D0.20,a2.docx,86.86
20. S900_F25_D0.20,a20.docx,264.97
20. S900_F25_D0.20,a21.docx,268.61
20. S900_F25_D0.20,a22.docx,270.07
20. S900_F25_D0.20,a23.docx,273.72
20. S900_F25_D0.20,a24.docx,278.1
20. S900_F25_D0.20,a25.docx,281.76
20. S900_F25_D0.20,a29.docx,291.97
20. S900_F25_D0.20,a3.docx,96.35
20. S900_F25_D0.20,a32.docx,307.3
20. S900_F25_D0.20,a4.docx,102.19
20. S900_F25_D0.20,a5.docx,127.74
20. S900_F25_D0.20,a6.docx,139.42
20. S900_F25_D0.20,a7.docx,141.61
20. S900_F25_D0.20,a8.docx,161.31
20. S900_F25_D0.20,a9.docx,167.88
6. S1200_F35_D0.20,a1.xlsx,
6. S1200_F35_D0.20,a10.xlsx,
6. S1200_F35_D0.20,a11.xlsx,
